year,citytemp,city_mavg,globaltemp,global_mavg
1796,24.49,,8.27,
1797,25.18,,8.51,
1798,24.65,,8.67,
1799,24.81,,8.51,
1800,24.85,,8.48,
1801,24.49,,8.59,
1802,25.44,,8.58,
1803,25.22,,8.5,
1804,25.67,24.9777777777778,8.84,8.55
1805,25.01,25.0355555555556,8.56,8.551
1806,24.87,25.0011111111111,8.43,8.567
1807,24.25,24.9566666666667,8.28,8.544
1813,24.23,24.8922222222222,7.74,8.451
1814,23.91,24.7877777777778,7.59,8.359
1815,23.79,24.71,7.24,8.235
1816,23.3,24.4722222222222,6.94,8.07
1817,23.6,24.2922222222222,6.98,7.91
1818,23.94,24.1,7.83,7.843
1819,23.86,23.9722222222222,7.37,7.696
1820,23.91,23.8655555555556,7.62,7.602
1821,24.4,23.8822222222222,8.09,7.568
1822,24.33,23.8933333333333,8.19,7.559
1823,24.62,23.9722222222222,7.72,7.557
1824,25.1,24.1177777777778,8.55,7.653
1825,24.69,24.2722222222222,8.39,7.768
1826,24.88,24.4144444444444,8.36,7.91
1827,24.67,24.4955555555556,8.81,8.093
1828,24.61,24.5788888888889,8.17,8.127
1829,24.46,24.64,7.94,8.184
1830,24.39,24.6388888888889,8.52,8.274
1831,24.43,24.65,7.64,8.229
1832,24.66,24.6544444444444,7.45,8.155
1833,24.46,24.5833333333333,8.01,8.184
1834,24.59,24.5722222222222,8.15,8.144
1835,23.89,24.4622222222222,7.39,8.044
1836,24.12,24.4011111111111,7.7,7.978
1837,24.13,24.3477777777778,7.38,7.835
1838,24.29,24.3288888888889,7.51,7.769
1839,24.24,24.3122222222222,7.63,7.738
1840,24.24,24.2911111111111,7.8,7.666
1841,24.05,24.2233333333333,7.69,7.671
1842,24.22,24.1966666666667,8.02,7.728
1843,23.99,24.13,8.17,7.744
1844,24.23,24.1677777777778,7.65,7.694
1845,24.46,24.2055555555556,7.85,7.74
1846,24.9,24.2911111111111,8.55,7.825
1847,24.35,24.2977777777778,8.09,7.896
1848,24.35,24.31,7.98,7.943
1849,24.32,24.3188888888889,7.98,7.978
1850,24.38,24.3555555555556,7.9,7.988
1851,24.45,24.3811111111111,8.18,8.037
1852,24.43,24.43,8.1,8.045
1853,24.67,24.4788888888889,8.04,8.032
1854,24.73,24.5088888888889,8.21,8.088
1855,24.75,24.4922222222222,8.11,8.114
1856,24.21,24.4766666666667,8,8.059
1857,23.87,24.4233333333333,7.76,8.026
1858,24.59,24.4533333333333,8.1,8.038
1859,24.55,24.4722222222222,8.25,8.065
1860,24.41,24.4677777777778,7.96,8.071
1861,24.21,24.4433333333333,7.85,8.038
1862,23.59,24.3233333333333,7.56,7.984
1865,25.06,24.36,8.18,7.998
1866,25,24.3877777777778,8.29,8.006
1867,24.96,24.4711111111111,8.44,8.039
1868,25.07,24.6044444444444,8.25,8.064
1869,24.92,24.6411111111111,8.43,8.131
1870,24.42,24.6266666666667,8.2,8.141
1871,24.47,24.6333333333333,8.12,8.128
1872,24.48,24.6633333333333,8.19,8.151
1873,24.51,24.7655555555556,8.35,8.201
1874,24.56,24.71,8.43,8.288
1875,24.64,24.67,7.86,8.256
1876,24.84,24.6566666666667,8.08,8.235
1877,25.23,24.6744444444444,8.54,8.245
1878,25.15,24.7,8.83,8.303
1879,24.39,24.6966666666667,8.17,8.277
1880,24.58,24.7088888888889,8.12,8.269
1881,24.76,24.74,8.27,8.284
1882,24.33,24.72,8.13,8.278
1883,24.25,24.6855555555556,7.98,8.241
1884,24.35,24.6533333333333,7.77,8.175
1885,24.62,24.6288888888889,7.92,8.181
1886,24.53,24.5511111111111,7.95,8.168
1887,24.31,24.4577777777778,7.91,8.105
1888,24.63,24.4844444444444,8.09,8.031
1889,24.73,24.5011111111111,8.32,8.046
1890,24.46,24.4677777777778,7.97,8.031
1891,24.95,24.5366666666667,8.02,8.006
1892,24.59,24.5744444444444,8.07,8
1893,24.38,24.5777777777778,8.06,8.008
1894,24.75,24.5922222222222,8.16,8.047
1895,24.78,24.62,8.15,8.07
1896,25.12,24.71,8.21,8.096
1897,25.3,24.7844444444444,8.29,8.134
1898,24.87,24.8,8.18,8.143
1899,24.74,24.8311111111111,8.4,8.151
1900,25.44,24.8855555555556,8.5,8.204
1901,25.09,24.9411111111111,8.54,8.256
1902,25.06,25.0166666666667,8.3,8.279
1903,24.82,25.0244444444444,8.22,8.295
1904,24.53,24.9966666666667,8.09,8.288
1905,24.92,24.9744444444444,8.23,8.296
1906,25.09,24.9511111111111,8.38,8.313
1907,24.74,24.9366666666667,7.95,8.279
1908,24.66,24.9277777777778,8.19,8.28
1909,24.61,24.8355555555556,8.18,8.258
1910,24.42,24.7611111111111,8.22,8.23
1911,24.76,24.7277777777778,8.18,8.194
1912,25,24.7477777777778,8.17,8.181
1913,25,24.8,8.3,8.189
1914,25.02,24.8111111111111,8.59,8.239
1915,25.22,24.8255555555556,8.59,8.275
1916,24.75,24.8266666666667,8.23,8.26
1917,24.46,24.8044444444444,8.02,8.267
1918,24.74,24.8188888888889,8.13,8.261
1919,25.06,24.89,8.38,8.281
1920,24.99,24.9155555555556,8.36,8.295
1921,24.88,24.9022222222222,8.57,8.334
1922,24.74,24.8733333333333,8.41,8.358
1923,24.84,24.8533333333333,8.42,8.37
1924,24.89,24.8166666666667,8.51,8.362
1925,24.69,24.81,8.53,8.356
